Life-Stage Group,Calcium (mg/d),Chromium (ug/d),Copper (ug/d),Fluoride (mg/d),Iodine (ug/d),Iron (mg/d),Magnesium (mg/d),Manganese (mg/d),Molybdenum (ug/d),Phosphorus (mg/d),Selenium (ug/d),Zinc (mg/d),Potassium (mg/d),Sodium (mg/d),Chloride (g/d)
Infants,Infants,Infants,Infants,Infants,Infants,Infants,Infants,Infants,Infants,Infants,Infants,Infants,Infants,Infants,Infants
< 6 mo,200,0.2,200,0.01,110,0.27,30,0.003,2,100,15,2,400,110,0.18
< 12 mo,260,5.5,220,0.5,130,11,75,0.6,3,275,20,3,860,370,0.57
Children,Children,Children,Children,Children,Children,Children,Children,Children,Children,Children,Children,Children,Children,Children,Children
1 to 3 y,700,11,340,0.7,90,7,80,1.2,17,460,20,3,2000,800,1.5
4 to 8 y,1000,15,440,1,90,10,130,1.5,22,500,30,5,2300,1000,1.9
Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males
9 to 13 y,1300,25,700,2,120,8,240,1.9,34,1250,40,8,2500,1200,2.3
14 to 18 y,1300,35,890,3,150,11,410,2.2,43,1250,55,11,3000,1500,2.3
19 to 30 y,1000,35,900,4,150,8,400,2.3,45,700,55,11,3400,1500,2.3
31 to 50 y,1000,35,900,4,150,8,420,2.3,45,700,55,11,3400,1500,2.3
51 to 70,1000,30,900,4,150,8,420,2.3,45,700,55,11,3400,1500,2.0
> 70 y,1200,30,900,4,150,8,420,2.3,45,700,55,11,3400,1500,1.8
Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females
9 to 13 y,1300,21,700,2,120,8,240,1.6,34,1250,40,8,2300,1200,2.3
14 to 18 y,1300,24,890,3,150,15,360,1.6,43,1250,55,9,2300,1500,2.3
19 to 30 y,1000,25,900,3,150,18,310,1.8,45,700,55,8,2600,1500,2.3
31 to 50 y,1000,25,900,3,150,18,320,1.8,45,700,55,8,2600,1500,2.3
51 to 70 y,1200,20,900,3,150,8,320,1.8,45,700,55,8,2600,1500,2.0
> 70 y,1200,20,900,3,150,8,320,1.8,45,700,55,8,2600,1500,1.8
Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy
14 to 18 y,1300,29,1000,3,220,27,400,2.0,50,1250,60,12,2600,1500,2.3
19 to 30 y,1000,30,1000,3,220,27,350,2.0,50,700,60,11,2900,1500,2.3
31 to 50 y,1000,30,1000,3,220,27,360,2.0,50,700,60,11,2900,1500,2.3
Lacation,Lactation,Lactation,Lactation,Lactation,Lactation,Lactation,Lactation,Lactation,Lactation,Lactation,Lactation,Lactation,Lactation,Lactation,Lactation
14 to 18 y,1300,44,1300,3,290,10,360,2.6,50,1250,70,13,2500,1500,2.3
19 to 30 y,1000,45,1300,3,290,9,310,2.6,50,700,70,12,2800,1500,2.3
31 to 50 y,1000,45,1300,3,290,9,320,2.6,50,700,70,12,2800,1500,2.3
