Life-Stage Group,Total Water (L/d),Carbohydrates (g/d),Total Fiber (g/d),Fat (g/d),Linoleic Acid (g/d),alpha-Linolenic Acid (g/d),Protein (g/d)
Infants,nan,nan,nan,nan,nan,nan,nan
< 6 mo,0.7,60,ND,31,4.4,0.5,9.1
< 12 mo,0.8,95,ND,30,4.6,0.5,11.0
Children,nan,nan,nan,nan,nan,nan,nan
1 to 3 y,1.3,130,19,ND,7,0.7,13
4 to 8 y,1.7,130,25,ND,10,0.9,19
Males,nan,nan,nan,nan,nan,nan,nan
9 to 13 y,2.4,130,31,ND,12,1.2,34
14 to 18 y,3.3,130,38,ND,16,1.6,52
19 to 30 y,3.7,130,38,ND,17,1.6,56
31 to 50 y,3.7,130,38,ND,17,1.6,56
51 to 70,3.7,130,30,ND,14,1.6,56
> 70 y,3.7,130,30,ND,14,1.6,56
Females,nan,nan,nan,nan,nan,nan,nan
9 to 13 y,2.1,130,26,ND,10,1.0,34
14 to 18 y,2.3,130,26,ND,11,1.1,46
19 to 30 y,2.7,130,25,ND,12,1.1,46
31 to 50 y,2.7,130,25,ND,12,1.1,46
51 to 70 y,2.7,130,21,ND,11,1.1,46
> 70 y,2.7,130,21,ND,11,1.1,46
Pregnancy,nan,nan,nan,nan,nan,nan,nan
14 to 18 y,3.0,175,28,ND,13,1.4,71
19 to 30 y,3.0,175,28,ND,13,1.4,71
31 to 50 y,3.0,175,28,ND,13,1.4,71
Lacation,nan,nan,nan,nan,nan,nan,nan
14 to 18 y,3.8,210,29,ND,13,1.3,71
19 to 30 y,3.8,210,29,ND,13,1.3,71
31 to 50 y,3.8,210,29,ND,13,1.3,71
