Life-Stage Group,Vitamin A (ug/d),Vitamin C (mg/d),Vitamin D (ug/d),Vitamin E (mg/d),Vitamin K (ug/d),Thiamin (mg/d),Riboflavin (mg/d),Niacin (mg/d),Vitamin B6 (mg/d),Folate (ug/d),Vitamin B12 (ug/d),Pantothenic Acid (mg/d),Biotin (ug/d),Choline (mg/d)
Infants,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
< 6 mo,400,40,10,4,2.0,0.2,0.3,2,0.1,65,0.4,1.7,5,125
< 12 mo,500,50,10,5,2.5,0.3,0.4,4,0.3,80,0.5,1.8,6,150
Children,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1 to 3 y,300,15,15,6,30,0.5,0.5,6,0.5,150,0.9,2,8,200
4 to 8 y,400,25,15,7,55,0.6,0.6,8,0.6,200,1.2,3,12,250
Males,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9 to 13 y,600,45,15,11,60,0.9,0.9,12,1.0,300,1.8,4,20,375
14 to 18 y,900,75,15,15,75,1.2,1.3,16,1.3,400,2.4,5,25,550
19 to 30 y,900,90,15,15,120,1.2,1.3,16,1.3,400,2.4,5,30,550
31 to 50 y,900,90,15,15,120,1.2,1.3,16,1.3,400,2.4,5,30,550
51 to 70,900,90,15,15,120,1.2,1.3,16,1.7,400,2.4,5,30,550
> 70 y,900,90,20,15,120,1.2,1.3,16,1.7,400,2.4,5,30,550
Females,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9 to 13 y,600,45,15,11,60,0.9,0.9,12,1.0,300,1.8,4,20,375
14 to 18 y,700,65,15,15,75,1.0,1.0,14,1.2,400,2.4,5,25,400
19 to 30 y,700,75,15,15,90,1.1,1.1,14,1.3,400,2.4,5,30,425
31 to 50 y,700,75,15,15,90,1.1,1.1,14,1.3,400,2.4,5,30,425
51 to 70 y,700,75,15,15,90,1.1,1.1,14,1.5,400,2.4,5,30,425
> 70 y,700,75,20,15,90,1.1,1.1,14,1.5,400,2.4,5,30,425
Pregnancy,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
14 to 18 y,750,80,15,15,75,1.4,1.4,18,1.9,600,2.6,6,30,450
19 to 30 y,770,85,15,15,90,1.4,1.4,18,1.9,600,2.6,6,30,450
31 to 50 y,770,85,15,15,90,1.4,1.4,18,1.9,600,2.6,6,30,450
Lacation,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
14 to 18 y,1200,115,15,19,75,1.4,1.6,17,2.0,500,2.8,7,35,550
19 to 30 y,1300,120,15,19,90,1.4,1.6,17,2.0,500,2.8,7,35,550
31 to 50 y,1300,120,15,19,90,1.4,1.6,17,2.0,500,2.8,7,35,550
