NDB_No,Total Of Isfl_Val
1056,0
1077,0
1079,0
1116,0
1123,0.03
1124,0
1125,0.01
2019,0.01
2046,0
3841,1.1
3843,11.7
3890,1.31
3891,1.96
3893,12.33
3931,12.49
4044,0
5323,0.28
5327,0.25
6016,0.05
6019,0
6043,0
6065,0
6071,0
6075,0.03
6118,0
6119,0
6121,0
6122,0
6125,0.18
6175,4.95
6183,0
6194,0
6419,0
6468,0
6971,0.08
6982,0.62
6983,0.18
7022,0.95
7023,0.04
7029,0
7075,0.34
7083,0
7905,0.03
7956,0
8001,0
8013,0
8020,0
8060,0
8065,0
8067,0
8090,0
8102,0
8234,0
8385,46.98
8390,0
8393,8.73
9003,0
9004,0
9005,0
9016,0
9021,0
9024,0
9032,0.01
9037,0
9040,0
9042,0
9050,0
9070,0
9078,0
9083,0.03
9087,0
9089,0
9094,0
9099,0
9107,0
9112,0
9116,0.05
9120,0
9123,0
9148,0
9152,0
9176,0
9181,0
9184,0
9191,0
9194,0
9200,0
9202,0
9209,0.02
9218,0
9219,0
9226,0
9231,0.01
9236,0
9240,0
9252,0
9256,0
9266,0
9268,0
9277,0
9278,0
9279,0
9286,0
9291,0
9292,0.01
9298,0.02
9302,0
9304,0
9307,0
9316,0
9326,0
9433,0
11001,0.45
11011,0.02
11012,0
11038,0
11043,0.17
11052,0.04
11053,0.01
11060,0.01
11061,0.02
11080,0
11081,0
11088,0
11090,0
11091,0
11098,0
11099,0
11109,0
11110,0
11112,0
11113,0
11114,0
11115,0
11116,0
11124,0
11125,0
11126,0
11135,0
11136,0
11141,0
11142,0
11143,0
11144,0
11152,0
11161,0
11162,0
11167,0
11168,0
11203,0
11205,0
11206,0
11209,0
11210,0
11215,0.01
11233,0
11246,0
11247,0
11251,0
11252,0
11260,0
11261,0
11278,0
11282,0
11283,0
11292,0
11298,0
11299,0
11300,0
11304,0
11305,0
11306,0
11312,0.01
11313,0
11333,0
11352,0
11355,0
11358,0
11360,0
11365,0
11367,0
11422,0
11423,0
11429,0
11435,0
11436,0
11450,14.2
11451,5.29
11452,9.9
11453,6.25
11457,0
11458,0
11468,0
11477,0
11478,0
11486,0
11507,0
11510,0
11529,0
11564,0
11565,0
11578,0
11591,0
11667,0
11670,0
11697,0
11935,0
11957,0
11963,0
12023,0
12036,0.01
12038,0
12061,0.01
12078,0
12087,0.01
12097,0
12101,0
12104,0.01
12108,0
12120,0.01
12142,0
12151,1.21
12155,0.01
12220,0.03
14003,0
14006,0
14106,0
14201,0
14209,0.01
14242,0
14355,0
14602,0
15138,0.05
15184,0.03
15185,0.14
16001,0.17
16006,0
16009,0
16014,0
16018,0
16019,0
16024,0.1
16027,0.01
16028,0.07
16032,0.01
16033,0.01
16034,0
16037,0.07
16040,0.18
16042,0.41
16045,0.26
16047,0.12
16049,0.01
16050,0.01
16052,0.22
16053,0
16054,0
16056,0.36
16057,0.01
16058,0
16062,0.11
16069,0.02
16070,0
16071,0.18
16072,0.01
16074,0.15
16076,0.07
16080,0.06
16081,0
16083,0.01
16085,0.25
16086,0.01
16087,0.09
16089,0
16090,0.01
16098,0
16101,0.21
16104,3.12
16107,6.07
16108,46.26
16109,18.7
16111,42.83
16112,14.02
16113,40.93
16114,30.81
16115,52.28
16116,89
16117,45.41
16119,70.2
16120,0.4
16121,6.02
16122,46.92
16123,0.36
16125,0.05
16126,8.81
16127,7.61
16128,27.88
16129,17.48
16130,4.7
16132,16.33
16139,0.04
16144,0
16147,0.14
16150,0.69
16158,0
16159,11.31
16162,15.43
16168,3.9
16173,7.3
16174,11.88
16229,1.28
16230,0.35
16427,6.61
16513,6.1
16546,1.97
16557,2.2
18029,0
18035,0.12
18037,0
18060,0
18064,0
18068,0.32
18069,0.06
18075,0
18079,0.35
18081,0.2
18101,0
18127,0.14
18128,0
18133,0.1
18150,0.02
18159,0
18216,0.01
18217,0.01
18248,1.77
18249,1.86
18250,0.55
18255,0.28
18290,0
18301,0
18326,0
18342,0
18356,0.74
18364,0
18376,0
19015,0.05
19016,0
19033,0
19042,0
19056,0
19205,0
19218,0
19314,0
19411,0
20005,0.01
20016,0.01
20020,0.01
20029,0
20036,0.04
20037,0
20038,0
20044,0
20045,0
20047,0
20066,0.02
20077,0
20080,0.01
20081,0
20088,0
20095,0.01
20100,0
20109,0.01
20110,0
20120,0.01
20121,0.01
20124,0.01
20125,0
21322,3
22116,1.88
22122,2.3
22126,1.68
22518,0
22720,1.65
22903,0.01
22904,1.21
22910,0
22911,1.12
22932,0.28
23501,0.93
23506,0.57
23567,0
25013,0.05
25017,1.7
42178,8.4
42237,0
42299,0
43130,6.14
43212,59.24
43476,8.15
43528,0.29
97068,0
97069,0
97070,0
99001,0.01
99002,46.56
99003,0
99008,0.47
99009,3.05
99010,0
99014,3.14
99018,55.67
99019,1.45
99020,0.02
99021,0
99026,0.06
99029,0
99030,52.39
99034,17.57
99035,68.61
99036,31.19
99038,13.63
99040,34.08
99041,3.44
99042,14.22
99043,5.23
99044,0
99045,23.2
99047,0
99048,0
99049,4.25
99052,0
99053,65.48
99054,3.01
99056,3.2
99060,47.66
99063,0.36
99064,0.3
99065,0.23
99070,0
99072,36.11
99073,0
99080,87.42
99081,14.5
99084,11.35
99085,15.68
99086,19.49
99092,37.13
99093,52.25
99096,22.58
99097,17.07
99100,36.81
99105,0.28
99106,0.03
99107,0.02
99111,0.5
99337,0
99395,0
99423,0.01
99457,0
99468,0.53
99469,0
99470,0
99471,3.95
99472,8.98
99474,0.27
99475,0
99476,0.44
99477,0
99478,0.01
99479,0.02
99480,0
99481,0
99482,0
99483,0.01
99484,0
99485,2.14
99486,0.17
99488,34.48
99489,0.01
99490,0
99491,0.43
99492,0.04
99493,0.06
99494,0.44
99495,9.13
99496,0
99497,6.87
99498,6.47
99499,4.33
99500,48.53
99501,0
99502,0
99503,2.99
99504,4.57
99505,0
99506,0.85
99507,0.05
99508,0.13
99509,1.56
99510,11.06
99511,7.85
99512,0
99513,0
99514,0
99515,0.44
99516,0.11
99517,0.28
99518,0.1
99519,0
99520,27.56
99521,0
99522,0
99523,0.35
99524,0.22
99526,0
99527,0
99528,5.75
99529,7.42
99531,0.01
99532,0.04
99533,0.09
99534,7.33
99535,9.35
99536,0
99538,13.45
99539,8.85
99540,8.39
99541,8.73
99542,0
99543,0.1
99544,0.21
99545,0
99546,0
99547,1.35
99548,0.03
99549,0.01
99550,0.79
99551,0.02
99553,0.02
99554,0.18
99555,7.95
99556,0
99557,3
99559,2.95
99560,40.83
99561,0
99562,0
99563,1.45
99564,7.03
99565,13.3
99566,0
99567,0
99568,55.53
99569,0.31
99571,439.4
99572,5.64
99573,1.88
99574,60.87
99575,52.79
99576,45.85
